"day","stat_type","bo_type","p_value","f_value","significant","p_adjusted","significant_adjusted"
-1,"median","bo",0.656045618562978,0.426113940188533,FALSE,0.779054172043537,FALSE
-1,"min","bo",0.871451500802094,0.13808165584702,FALSE,0.986746596145488,FALSE
-1,"sd","bo",0.821757255420137,0.197301707952733,FALSE,0.960452783769663,FALSE
-1,"skew","bo",0.632220219882504,0.463950723394673,FALSE,0.871856187426796,FALSE
0,"cv","bo",0.529247512983751,0.64736821787868,FALSE,0.88530743276796,FALSE
0,"iqr","bo",0.958400584592171,0.0425382723456964,FALSE,0.958400584592171,FALSE
0,"kurt","bo",0.77030796756804,0.26281418426561,FALSE,0.883949696338957,FALSE
0,"max","bo",0.168322965408629,1.87050597070915,FALSE,0.559662832371789,FALSE
0,"mean","bo",0.0516821329408802,3.21305309818242,FALSE,0.388258963148683,FALSE
0,"median","bo",0.0250955048165902,4.07771861627266,TRUE,0.190725836606086,FALSE
0,"min","bo",0.497686948820602,0.711110566942558,FALSE,0.822265393703604,FALSE
0,"sd","bo",0.562409549008547,0.584570652686816,FALSE,0.87490933723026,FALSE
0,"skew","bo",0.859872197463167,0.151589198191806,FALSE,0.909267368190837,FALSE
1,"cv","bo",0.275509147894777,1.33270118202907,FALSE,0.725155524933171,FALSE
1,"iqr","bo",0.0629802851942651,2.97055822252025,FALSE,0.598312709345518,FALSE
1,"kurt","bo",0.0453454700756721,3.3523206067665,TRUE,0.574375954291847,FALSE
1,"max","bo",0.396342107465516,0.947790893261283,FALSE,0.654826090595201,FALSE
1,"mean","bo",0.181077561547934,1.78594007039445,FALSE,0.527566084460104,FALSE
1,"median","bo",0.357435282454649,1.05642387110252,FALSE,0.5669353853166,FALSE
1,"min","bo",0.0414363293159286,3.45821589899197,TRUE,0.52001030348553,FALSE
1,"sd","bo",0.295237185769099,1.25894730086813,FALSE,0.762966567191472,FALSE
1,"skew","bo",0.0483888206110393,3.27632146522324,TRUE,0.306462530536582,FALSE
2,"cv","bo",0.171798172951139,1.84132939515119,FALSE,0.725155524933171,FALSE
2,"iqr","bo",0.287958268314337,1.28450321018262,FALSE,0.953945771848484,FALSE
2,"kurt","bo",0.450597361840479,0.813281755115049,FALSE,0.85613498749691,FALSE
2,"max","bo",0.496354912518795,0.712874769911663,FALSE,0.698573580582007,FALSE
2,"mean","bo",0.962622497803915,0.0381302522436387,FALSE,0.988639322068886,FALSE
2,"median","bo",0.617400403532176,0.488098349243825,FALSE,0.779054172043537,FALSE
2,"min","bo",0.945268220114798,0.0563658397297395,FALSE,0.986746596145488,FALSE
2,"sd","bo",0.166870996769902,1.87313093298026,FALSE,0.762966567191472,FALSE
2,"skew","bo",0.789516950394033,0.237735835779863,FALSE,0.892123923370688,FALSE
3,"cv","bo",0.26500443345636,1.37427369361396,FALSE,0.725155524933171,FALSE
3,"iqr","bo",0.891417304542404,0.115282036655773,FALSE,0.953945771848484,FALSE
3,"kurt","bo",0.236356228763181,1.49710296566065,FALSE,0.706828791152096,FALSE
3,"max","bo",0.176096925776536,1.81640718652414,FALSE,0.559662832371789,FALSE
3,"mean","bo",0.518854673916469,0.66729498309001,FALSE,0.790009757191122,FALSE
3,"median","bo",0.316431794850187,1.18527372166698,FALSE,0.5669353853166,FALSE
3,"min","bo",0.0547379266826874,3.13277329344916,FALSE,0.52001030348553,FALSE
3,"sd","bo",0.254640821895697,1.41702139997462,FALSE,0.762966567191472,FALSE
3,"skew","bo",0.216977549772377,1.58941930198799,FALSE,0.687095574279193,FALSE
4,"cv","bo",0.0227885935755216,4.17305055532649,TRUE,0.725155524933171,FALSE
4,"iqr","bo",0.209776656250899,1.62595233240807,FALSE,0.953945771848484,FALSE
4,"kurt","bo",0.0718599399352804,2.81908115631662,FALSE,0.682669429385164,FALSE
4,"max","bo",0.661224070985623,0.418081306334095,FALSE,0.785203584295427,FALSE
4,"mean","bo",0.0755793745527511,2.7613957925404,FALSE,0.410288033286363,FALSE
4,"median","bo",0.0872659856067125,2.5978617651965,FALSE,0.377974338225434,FALSE
4,"min","bo",0.0942990405040451,2.51019964846405,FALSE,0.524879741554964,FALSE
4,"sd","bo",0.0225261124702893,4.18711887925301,TRUE,0.762966567191472,FALSE
4,"skew","bo",0.00673850072724872,5.69940814081937,TRUE,0.128031513817726,FALSE
5,"cv","bo",0.552253565217618,0.60312265928892,FALSE,0.88530743276796,FALSE
5,"iqr","bo",0.944700907751312,0.0569721474153585,FALSE,0.958400584592171,FALSE
5,"kurt","bo",0.84266263697446,0.17196211412557,FALSE,0.883949696338957,FALSE
5,"max","bo",0.183924975216435,1.77096728383022,FALSE,0.559662832371789,FALSE
5,"mean","bo",0.198563038700754,1.68741926284074,FALSE,0.527566084460104,FALSE
5,"median","bo",0.473285936298687,0.762976711194355,FALSE,0.642316627833932,FALSE
5,"min","bo",0.382334406451717,0.986201657205011,FALSE,0.80715041362029,FALSE
5,"sd","bo",0.565456862430302,0.578761107201694,FALSE,0.87490933723026,FALSE
5,"skew","bo",0.734510257297976,0.311070301912345,FALSE,0.875801364973565,FALSE
6,"cv","bo",0.582439100505237,0.548091976434121,FALSE,0.88530743276796,FALSE
6,"iqr","bo",0.284842878658428,1.29713768123625,FALSE,0.953945771848484,FALSE
6,"kurt","bo",0.820841428892886,0.19842811752425,FALSE,0.883949696338957,FALSE
6,"max","bo",0.151592076495208,1.98083706835743,FALSE,0.559662832371789,FALSE
6,"mean","bo",0.657657795532653,0.423606063003051,FALSE,0.830678263485181,FALSE
6,"median","bo",0.0638247523400157,2.9552151052419,FALSE,0.346477226988657,FALSE
6,"min","bo",0.895850014773088,0.110293014601791,FALSE,0.986746596145488,FALSE
6,"sd","bo",0.574341612464119,0.56249092277456,FALSE,0.87490933723026,FALSE
6,"skew","bo",0.397802002098278,0.94393590091562,FALSE,0.83980422665192,FALSE
7,"cv","bo",0.894745592770987,0.111560146122864,FALSE,0.964527647535271,FALSE
7,"iqr","bo",0.717914672872278,0.334474171676795,FALSE,0.953945771848484,FALSE
7,"kurt","bo",0.260410607266562,1.39706013968021,FALSE,0.706828791152096,FALSE
7,"max","bo",0.450560114985455,0.815183739365697,FALSE,0.658510937286434,FALSE
7,"mean","bo",0.236016406205836,1.50334260858537,FALSE,0.527566084460104,FALSE
7,"median","bo",0.109413624223152,2.35435885906815,FALSE,0.377974338225434,FALSE
7,"min","bo",0.42062491104654,0.887184723471978,FALSE,0.822265393703604,FALSE
7,"sd","bo",0.895759895328549,0.110420180917884,FALSE,0.960452783769663,FALSE
7,"skew","bo",0.560549851815423,0.588244680473197,FALSE,0.871856187426796,FALSE
8,"cv","bo",0.453333997225438,0.807827666014385,FALSE,0.88530743276796,FALSE
8,"iqr","bo",0.849934759964737,0.163293394178093,FALSE,0.953945771848484,FALSE
8,"kurt","bo",0.41727012183388,0.894436312668007,FALSE,0.834540243667761,FALSE
8,"max","bo",0.204428176391023,1.65574814734419,FALSE,0.559662832371789,FALSE
8,"mean","bo",0.340940167567422,1.10710226362456,FALSE,0.643916063511699,FALSE
8,"median","bo",0.00143066973194663,7.82020259802291,TRUE,0.0271827249069859,TRUE
8,"min","bo",0.664445507304071,0.41323200083041,FALSE,0.971112664521335,FALSE
8,"sd","bo",0.427565915240168,0.868930546158978,FALSE,0.87490933723026,FALSE
8,"skew","bo",0.036341345294995,3.62152970912002,TRUE,0.306462530536582,FALSE
9,"cv","bo",0.952693340249166,0.0485224807590317,FALSE,0.964527647535271,FALSE
9,"iqr","bo",0.635701216778927,0.458329988363609,FALSE,0.953945771848484,FALSE
9,"kurt","bo",0.760767165847542,0.275353913246184,FALSE,0.883949696338957,FALSE
9,"max","bo",0.817905473552175,0.202048086798357,FALSE,0.840011026891423,FALSE
9,"mean","bo",0.507438484185895,0.690317800469524,FALSE,0.790009757191122,FALSE
9,"median","bo",0.401625485009214,0.933909691600982,FALSE,0.586991093475005,FALSE
9,"min","bo",0.73216183505656,0.314259097871525,FALSE,0.986746596145488,FALSE
9,"sd","bo",0.960452783769663,0.0403922324366395,FALSE,0.960452783769663,FALSE
9,"skew","bo",0.617358170336435,0.488319991209847,FALSE,0.871856187426796,FALSE
10,"cv","bo",0.80323419855915,0.220411624143579,FALSE,0.964527647535271,FALSE
10,"iqr","bo",0.582552375342693,0.548304468216458,FALSE,0.953945771848484,FALSE
10,"kurt","bo",0.636066598505323,0.458030167306971,FALSE,0.883949696338957,FALSE
10,"max","bo",0.609325950055798,0.50209459499622,FALSE,0.746915680713559,FALSE
10,"mean","bo",0.576976329184399,0.558209952003952,FALSE,0.822328956039315,FALSE
10,"median","bo",0.227530875625624,1.54131918054979,FALSE,0.508598427869041,FALSE
10,"min","bo",0.811228935089778,0.210392333152909,FALSE,0.986746596145488,FALSE
10,"sd","bo",0.80570139199401,0.217308475736294,FALSE,0.960452783769663,FALSE
10,"skew","bo",0.62211140399265,0.480777134957429,FALSE,0.871856187426796,FALSE
11,"cv","bo",0.102997255103264,2.41859462918007,FALSE,0.725155524933171,FALSE
11,"iqr","bo",0.0148678355862214,4.72571792905184,TRUE,0.282488876138206,FALSE
11,"kurt","bo",0.649001547434515,0.437411128072867,FALSE,0.883949696338957,FALSE
11,"max","bo",0.0659026343623203,2.92963735094116,FALSE,0.559662832371789,FALSE
11,"mean","bo",0.303544800061317,1.23148107565741,FALSE,0.607089600122634,FALSE
11,"median","bo",0.293176793771894,1.26858271909488,FALSE,0.5669353853166,FALSE
11,"min","bo",0.152680029843138,1.97819185748613,FALSE,0.555484763097428,FALSE
11,"sd","bo",0.0970940579346952,2.48543961642164,FALSE,0.762966567191472,FALSE
11,"skew","bo",0.727535662432832,0.320842668863256,FALSE,0.875801364973565,FALSE
12,"cv","bo",0.46805061333788,0.775416105737887,FALSE,0.88530743276796,FALSE
12,"iqr","bo",0.440043989975757,0.839886308596947,FALSE,0.953945771848484,FALSE
12,"kurt","bo",0.736706987507633,0.308173390141258,FALSE,0.883949696338957,FALSE
12,"max","bo",0.721802184363655,0.328974250646127,FALSE,0.810130243754354,FALSE
12,"mean","bo",0.802239849421982,0.221701868845003,FALSE,0.871003265086724,FALSE
12,"median","bo",0.979503655415216,0.020721227463582,FALSE,0.979503655415216,FALSE
12,"min","bo",0.437487381615896,0.845986013791821,FALSE,0.822265393703604,FALSE
12,"sd","bo",0.470720477230798,0.76948399799607,FALSE,0.87490933723026,FALSE
12,"skew","bo",0.798216141963247,0.226792723103629,FALSE,0.892123923370688,FALSE
13,"cv","bo",0.268838378866465,1.36420675257463,FALSE,0.725155524933171,FALSE
13,"iqr","bo",0.174969017828141,1.83291810762766,FALSE,0.953945771848484,FALSE
