"day","stat_type","rhr_type","n_diabetes_surgery1","n_no_diabetes_surgery0","mean_diabetes_surgery1","mean_no_diabetes_surgery0","sd_diabetes_surgery1","sd_no_diabetes_surgery0","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
9,"cv","rhr_1",14,21,8.5471667813312,12.7164187683302,2.03475916846818,3.2376048876822,4.79120854295846e-05,-1.54193067233109,TRUE,0.000713524384286441,TRUE
10,"cv","rhr_1",13,21,9.40592841681899,13.2875061713267,2.47829400813587,3.73927882218152,0.000962722580751966,-1.22367065220924,TRUE,0.00193912794456657,TRUE
11,"cv","rhr_1",13,20,9.15295750798886,12.4818069659104,2.31087852992798,3.97342218054022,0.00481908377471759,-1.02418275126932,TRUE,0.00631466149790581,TRUE
12,"cv","rhr_1",12,20,8.70907082437387,12.964030135374,2.9358645480661,3.77779063874256,0.00137192914610006,-1.25770272076049,TRUE,0.00217222114799176,TRUE
13,"cv","rhr_1",13,19,8.97046490864959,14.2721148012263,2.70300656255767,3.72119011521005,6.03223473577691e-05,-1.63017760070651,TRUE,0.000713524384286441,TRUE
14,"cv","rhr_1",11,21,7.67531932149211,12.4662031119803,1.88279189914574,4.436990839534,0.000189848903074784,-1.40568907426156,TRUE,0.000883920232313575,TRUE
15,"cv","rhr_1",11,21,8.6491650992127,13.3040673398304,2.18242711726738,4.47847675587781,0.000438043208360442,-1.32137756713381,TRUE,0.00128043399366898,TRUE
16,"cv","rhr_1",11,21,8.31018162190111,13.8657319791333,2.17559158497546,5.48543940431865,0.000336570944804576,-1.33139668767925,TRUE,0.00116269962750672,TRUE
17,"cv","rhr_1",11,21,8.94854491347425,13.6944849560584,2.62440077330979,3.54376680305484,0.000215334914550642,-1.52203540766111,TRUE,0.000883920232313575,TRUE
18,"cv","rhr_1",11,21,8.58958863077153,13.9611640939756,2.99145881318381,4.03691017434316,0.000232610587450941,-1.51190656386563,TRUE,0.000883920232313575,TRUE
19,"cv","rhr_1",12,22,8.84094996360553,12.6522820247851,2.87085858369786,2.87447638392928,0.00120405753575047,-1.32675686518961,TRUE,0.0021573659392686,TRUE
20,"cv","rhr_1",13,21,9.82357524522955,12.7983271350203,3.46394750190888,3.96674242907148,0.0290240785149749,-0.798839746491725,TRUE,0.0324386759873249,TRUE
