"day","stat_type","rhr_type","n_diabetes_surgery1","n_no_diabetes_surgery0","mean_diabetes_surgery1","mean_no_diabetes_surgery0","sd_diabetes_surgery1","sd_no_diabetes_surgery0","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
-2,"max","rhr_1",14,16,110.785714285714,103.75,13.2385135781266,10.7051389528581,0.125308256782901,0.584427126710245,FALSE,0.340122411267874,FALSE
-2,"max","rhr_50",14,16,110.571428571429,100.5,12.610827373054,9.61942479222814,0.0227622164701994,0.898007250885689,TRUE,0.110527703930758,FALSE
-2,"mean","rhr_1",14,16,78.8408247321543,64.1965176966924,9.77933904444809,6.00174454462641,8.35883946345215e-05,1.80494020853076,TRUE,0.000198522437256989,TRUE
-2,"mean","rhr_50",14,16,86.3688652202708,75.0357821367932,9.22018866306575,6.87225167618657,0.000942620428340714,1.39374109805934,TRUE,0.00210703389864395,TRUE
-2,"median","rhr_1",14,16,77.8571428571429,62.15625,10.538261007156,5.63240253651435,7.87975031878347e-05,1.85826362932511,TRUE,0.000187144070071107,TRUE
-2,"median","rhr_50",14,16,86.0714285714286,74.8125,9.72082843663571,7.31408458614838,0.0016545858331579,1.30886658213199,TRUE,0.00349301453666668,TRUE
-2,"min","rhr_1",14,16,60.8571428571429,49.875,9.63053751081697,6.55108133567785,0.00155299864034494,1.33342903226747,TRUE,0.00268245219695945,TRUE
-2,"min","rhr_50",14,16,69.5714285714286,56.625,10.5590958653904,7.91517529812196,0.000977681145145268,1.38742683185798,TRUE,0.00188643531626494,TRUE
-2,"sd","rhr_1",14,16,7.93432777142681,8.59529854243724,3.27744920914563,2.35310003048016,0.537132585780102,-0.231679007972119,FALSE,0.58317252170411,FALSE
-2,"sd","rhr_50",14,16,7.44547258843436,8.55639473138959,2.72136408114216,1.87606189843631,0.212227425555762,-0.47531261145243,FALSE,0.298690450782183,FALSE
-2,"skew","rhr_1",14,16,0.708560343307566,1.15248539441569,1.2318938905076,0.649114161560881,0.241256825984668,-0.450864072645915,FALSE,0.705212260570569,FALSE
-2,"skew","rhr_50",14,16,0.314637775646266,0.258191826929023,0.754846062444006,0.734692254384395,0.837632284034445,0.0757829215723532,FALSE,0.898980656938611,FALSE
-1,"cv","rhr_1",15,17,9.47012340578903,14.1857452533044,3.89486246513863,2.82507305993896,0.000672901520552531,-1.38601896238333,TRUE,0.00158280958785241,TRUE
-1,"cv","rhr_50",15,17,8.97866877855846,11.0997696529854,5.59739762244904,2.66229685641205,0.195681002193342,-0.483955104262227,FALSE,0.195681002193342,FALSE
-1,"iqr","rhr_1",15,17,10.7833333333333,12.7941176470588,7.20296731182629,4.8895897819034,0.370960339976634,-0.326642104781624,FALSE,0.454976196479859,FALSE
-1,"iqr","rhr_50",15,17,9.38333333333333,10.7352941176471,3.58925313891875,2.69471500730378,0.244036934134388,-0.425994300082522,FALSE,0.407329754851921,FALSE
-1,"kurt","rhr_1",15,17,5.99362052361581,4.9653091317913,10.6962488372774,3.24268603039586,0.724870825824432,0.130111414134986,FALSE,0.903081492114113,FALSE
-1,"kurt","rhr_50",15,17,3.36728061123738,3.58060149425528,1.32987331515582,1.03348264909457,0.61998823587382,-0.179120601138771,FALSE,0.914827796639308,FALSE
-1,"max","rhr_1",15,17,105.333333333333,105.705882352941,13.7407977865015,11.4168992390795,0.934629735486114,-0.0294915446749466,FALSE,0.972954981192493,FALSE
-1,"max","rhr_50",15,17,104.733333333333,102.764705882353,9.68405660769042,10.9346319769157,0.593113305318929,0.19060537052268,FALSE,0.751276853403977,FALSE
-1,"mean","rhr_1",15,17,80.5318572377653,64.257521331083,7.80397909222777,7.2126092497713,1.2564385213771e-06,2.16583560722498,TRUE,2.85585960871288e-05,TRUE
-1,"mean","rhr_50",15,17,85.1351522769029,76.099576889079,7.58442468817628,7.41270617982372,0.00196759950838732,1.20489488595362,TRUE,0.00373843906593591,TRUE
