"day","stat_type","n_cataract","n_no_surgery","mean_cataract","mean_no_surgery","sd_cataract","sd_no_surgery","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
9,"total",7,5,6849.71428571429,10180.8,5144.14964512392,4144.35443706254,0.243914078512614,-0.713129889107455,FALSE,0.916356170036914,FALSE
10,"max",7,4,114.142857142857,125.75,27.3339140472574,22.2617010431219,0.46780173025616,-0.465642488857502,FALSE,0.980430648349726,FALSE
10,"mean",7,4,6.08255452549771,5.99917303316523,2.80384364589774,1.71237920462556,0.952558440068779,0.0358920154252142,FALSE,0.974667309728947,FALSE
10,"median",7,4,0,0,0,0,NA,NA,NA,NA,NA
10,"total",7,4,6704.28571428571,7893.5,2665.95897157012,2823.98601271324,0.518386886418062,-0.433054219710598,FALSE,0.916356170036914,FALSE
11,"max",7,4,107,119.75,46.6118725934355,7.58836829188814,0.503681608271544,-0.381810975639398,FALSE,0.980430648349726,FALSE
11,"mean",7,4,7.81131454892272,9.27874043072827,8.0215719557084,5.16319860294414,0.721297543944841,-0.217540622745821,FALSE,0.937076805609199,FALSE
11,"median",7,4,0,0,0,0,NA,NA,NA,NA,NA
11,"total",7,4,6984.71428571429,8755.5,6993.08557825241,1364.31240312963,0.537918360600179,-0.351479943486033,FALSE,0.916356170036914,FALSE
12,"max",6,4,125.833333333333,119,32.5356215042324,10.2306728354819,0.647234277890462,0.283344107131767,FALSE,0.980430648349726,FALSE
12,"mean",6,4,7.15384402902576,6.05416263372643,4.79677730010101,1.25905497963603,0.612200700235144,0.31359181141886,FALSE,0.937076805609199,FALSE
12,"median",6,4,0,0,0,0,NA,NA,NA,NA,NA
12,"total",6,4,8730,7698.5,6559.47757066064,2784.94015495247,0.742307181197074,0.204704129075879,FALSE,0.916356170036914,FALSE
13,"max",6,4,114.5,126.5,32.3403772396056,26.5392790658174,0.540618800544955,-0.40564700003773,FALSE,0.980430648349726,FALSE
