"day","stat_type","p_value","significant","p_adjusted","significant_adjusted"
2,"kurt",0.41443875690663,FALSE,0.787433638122596,FALSE
2,"max",0.508320391654003,FALSE,0.742929803186619,FALSE
2,"mean",0.910821019294673,FALSE,0.935437803599935,FALSE
2,"median",0.580979241524744,FALSE,0.735907039264676,FALSE
2,"min",0.926627400306632,FALSE,0.984916786709057,FALSE
2,"sd",0.207778328123106,FALSE,0.762966567191472,FALSE
2,"skew",0.834502714363928,FALSE,0.914820670813338,FALSE
3,"cv",0.245731301239542,FALSE,0.741578878899051,FALSE
3,"iqr",0.674186288972945,FALSE,0.92501795876397,FALSE
3,"kurt",0.261159931670596,FALSE,0.691008394953964,FALSE
3,"max",0.0257802838275936,TRUE,0.559369057912493,FALSE
3,"mean",0.202798281971021,FALSE,0.380660777573497,FALSE
3,"median",0.117812810143163,FALSE,0.341573658236561,FALSE
3,"min",0.113302942682495,FALSE,0.492378079985871,FALSE
3,"sd",0.243007427656399,FALSE,0.762966567191472,FALSE
3,"skew",0.280179488162562,FALSE,0.709788036678491,FALSE
4,"cv",0.0380475657982478,TRUE,0.741578878899051,FALSE
4,"iqr",0.308833953763166,FALSE,0.92501795876397,FALSE
4,"kurt",0.0661684124562359,FALSE,0.640574012208347,FALSE
4,"max",0.668172987742379,FALSE,0.769411319218497,FALSE
4,"mean",0.0719320591664068,FALSE,0.303713138702606,FALSE
4,"median",0.0516604903917744,FALSE,0.212612616960099,FALSE
4,"min",0.12957317894365,FALSE,0.492378079985871,FALSE
4,"sd",0.0369796432416298,TRUE,0.762966567191472,FALSE
4,"skew",0.00266495894079528,TRUE,0.0716984044684145,FALSE
5,"cv",0.464579536213422,FALSE,0.806249346341758,FALSE
5,"iqr",0.876937339030461,FALSE,0.96117840675687,FALSE
5,"kurt",0.758298806543589,FALSE,0.881238955983203,FALSE
5,"max",0.208246488932482,FALSE,0.559369057912493,FALSE
5,"mean",0.213340680028292,FALSE,0.380660777573497,FALSE
5,"median",0.399431887363761,FALSE,0.545063158226791,FALSE
5,"min",0.345381459061738,FALSE,0.656224772217302,FALSE
5,"sd",0.473177769796475,FALSE,0.823720570962619,FALSE
5,"skew",0.600371084141622,FALSE,0.909239744296949,FALSE
6,"cv",0.48799302541738,FALSE,0.806249346341758,FALSE
6,"iqr",0.260429912844408,FALSE,0.92501795876397,FALSE
6,"kurt",0.819550316243143,FALSE,0.881238955983203,FALSE
6,"max",0.140065336183742,FALSE,0.559369057912493,FALSE
6,"mean",0.738322242378866,FALSE,0.850189248799906,FALSE
6,"median",0.100113954053754,FALSE,0.31702752117022,FALSE
6,"min",0.989318907940083,FALSE,0.989318907940083,FALSE
6,"sd",0.478647332482152,FALSE,0.823720570962619,FALSE
6,"skew",0.664462212982419,FALSE,0.914820670813338,FALSE
7,"cv",0.841897205971798,FALSE,0.914059823626523,FALSE
7,"iqr",0.71798970433323,FALSE,0.92501795876397,FALSE
7,"kurt",0.1555077733727,FALSE,0.691008394953964,FALSE
7,"max",0.644168621667036,FALSE,0.764950238229606,FALSE
7,"mean",0.147858319495968,FALSE,0.380660777573497,FALSE
7,"median",0.0578382842185634,FALSE,0.212612616960099,FALSE
7,"min",0.214373149551606,FALSE,0.543078645530735,FALSE
7,"sd",0.845203314504825,FALSE,0.917649312890953,FALSE
7,"skew",0.493816023134063,FALSE,0.893571851385447,FALSE
8,"cv",0.594955322600921,FALSE,0.869550086878268,FALSE
8,"iqr",0.859349107941214,FALSE,0.96117840675687,FALSE
8,"kurt",0.368685692516769,FALSE,0.787433638122596,FALSE
8,"max",0.191423533884016,FALSE,0.559369057912493,FALSE
8,"mean",0.128324902481236,FALSE,0.380660777573497,FALSE
8,"median",0.000290283416930012,TRUE,0.00551538492167022,TRUE
8,"min",0.764209982523319,FALSE,0.984916786709057,FALSE
8,"sd",0.56520203919827,FALSE,0.855041460278829,FALSE
8,"skew",0.0373094624276542,TRUE,0.258790486432051,FALSE
9,"cv",0.952693340249166,FALSE,0.981573335194429,FALSE
9,"iqr",0.635701216778927,FALSE,0.92501795876397,FALSE
9,"kurt",0.760767165847542,FALSE,0.881238955983203,FALSE
9,"max",0.817905473552175,FALSE,0.840011026891423,FALSE
9,"mean",0.507438484185895,FALSE,0.755571858622732,FALSE
9,"median",0.401625485009214,FALSE,0.545063158226791,FALSE
9,"min",0.73216183505656,FALSE,0.984916786709057,FALSE
9,"sd",0.960452783769663,FALSE,0.973453417583519,FALSE
9,"skew",0.617358170336435,FALSE,0.909239744296949,FALSE
10,"cv",0.80323419855915,FALSE,0.901222082926891,FALSE
10,"iqr",0.582552375342693,FALSE,0.92501795876397,FALSE
10,"kurt",0.636066598505323,FALSE,0.881238955983203,FALSE
10,"max",0.609325950055798,FALSE,0.746915680713559,FALSE
10,"mean",0.576976329184399,FALSE,0.755571858622732,FALSE
10,"median",0.227530875625624,FALSE,0.432308663688685,FALSE
10,"min",0.811228935089778,FALSE,0.984916786709057,FALSE
10,"sd",0.80570139199401,FALSE,0.900489791052129,FALSE
10,"skew",0.62211140399265,FALSE,0.909239744296949,FALSE
11,"cv",0.126485905732813,FALSE,0.741578878899051,FALSE
11,"iqr",0.026030716227126,TRUE,0.329722405543596,FALSE
11,"kurt",0.538333695777155,FALSE,0.881238955983203,FALSE
11,"max",0.0652455349903384,FALSE,0.559369057912493,FALSE
