"day","stat_type","rhr_type","p_value","f_value","significant","p_adjusted","significant_adjusted"
14,"max","rhr_50",0.926988507484997,0.0759696688407198,FALSE,0.927747015759831,FALSE
14,"mean","rhr_1",0.00162149044416446,7.68105641981707,TRUE,0.00198763344768547,TRUE
14,"mean","rhr_50",0.0181044904895599,4.47975750875771,TRUE,0.0214990824563524,TRUE
14,"median","rhr_1",0.00203862321090206,7.35907427370373,TRUE,0.00249895748433156,TRUE
14,"median","rhr_50",0.0146561176984214,4.74373093777185,TRUE,0.0185644157513338,TRUE
14,"min","rhr_1",0.00505366400967807,6.12074068969908,TRUE,0.00685854401313452,TRUE
14,"min","rhr_50",8.00145155421003e-05,12.3050603968442,TRUE,0.000506758598433302,TRUE
14,"sd","rhr_1",0.0951623582636234,2.50824753299463,FALSE,0.238624649509712,FALSE
14,"sd","rhr_50",0.0313293436356156,3.80856619033824,TRUE,0.213913945417322,FALSE
14,"skew","rhr_1",0.885644556177134,0.121839043635081,FALSE,0.934847031520308,FALSE
14,"skew","rhr_50",0.290663944725762,1.27778317886122,FALSE,0.813179507550999,FALSE
15,"cv","rhr_1",0.0160059633203086,4.63329926307829,TRUE,0.0217223787918474,TRUE
15,"cv","rhr_50",0.00608031476652553,5.8758354111027,TRUE,0.0185421284929004,TRUE
15,"iqr","rhr_1",0.632115478532081,0.464264591674474,FALSE,0.671066322128564,FALSE
15,"iqr","rhr_50",0.0682853328748983,2.88853587268827,FALSE,0.288131440904064,FALSE
15,"kurt","rhr_1",0.685734872184314,0.381137202104406,FALSE,0.838533370462522,FALSE
15,"kurt","rhr_50",0.29343122031705,1.26765580801026,FALSE,0.733067209948706,FALSE
15,"max","rhr_1",0.832401285811352,0.184329035182892,FALSE,0.930330848847982,FALSE
15,"max","rhr_50",0.602697661126223,0.513332434175456,FALSE,0.797162597270172,FALSE
15,"mean","rhr_1",0.0367902559830676,3.60691741589899,TRUE,0.0377845872258532,TRUE
15,"mean","rhr_50",0.0923809748768501,2.54195975585122,FALSE,0.0975132512588973,FALSE
15,"median","rhr_1",0.0288371091041707,3.89859171043736,TRUE,0.0299668587380989,TRUE
15,"median","rhr_50",0.0757876361482527,2.76835884053882,FALSE,0.0799980603787112,FALSE
15,"min","rhr_1",0.0157037582578499,4.64290187827341,TRUE,0.0175512592293616,TRUE
15,"min","rhr_50",0.086383991428943,2.61843941498883,FALSE,0.0887186938999955,FALSE
15,"sd","rhr_1",0.104263521927253,2.40478249260646,FALSE,0.238624649509712,FALSE
15,"sd","rhr_50",0.0224668668335625,4.21315886844307,TRUE,0.213435234918844,FALSE
15,"skew","rhr_1",0.595801450910578,0.525163644190701,FALSE,0.769989457475707,FALSE
15,"skew","rhr_50",0.935244187305871,0.0670689018503961,FALSE,0.935244187305871,FALSE
16,"cv","rhr_1",0.00657905135816607,5.77218360181022,TRUE,0.0125001975805155,TRUE
16,"cv","rhr_50",0.00160406681892696,7.69635003781767,TRUE,0.0130317354362932,TRUE
16,"iqr","rhr_1",0.213584486551345,1.60995986328829,FALSE,0.453556849436681,FALSE
16,"iqr","rhr_50",0.0135017591433652,4.84703364356756,TRUE,0.174200455574718,FALSE
16,"kurt","rhr_1",0.119359219286046,2.25254698149302,FALSE,0.388975445400192,FALSE
16,"kurt","rhr_50",0.755511049816778,0.282496028030352,FALSE,0.878317489931215,FALSE
16,"max","rhr_1",0.410961158748704,0.910975528018218,FALSE,0.641163790521033,FALSE
16,"max","rhr_50",0.807433967014011,0.215135284942409,FALSE,0.902426198427425,FALSE
16,"mean","rhr_1",0.0970974971937169,2.48539943637204,FALSE,0.0970974971937169,FALSE
16,"mean","rhr_50",0.0692670436337797,2.87203926621473,FALSE,0.0752042188023894,FALSE
16,"median","rhr_1",0.153836965681993,1.96983740395822,FALSE,0.153836965681993,FALSE
16,"median","rhr_50",0.0600760179001159,3.03713265829899,FALSE,0.0652253908629829,FALSE
16,"min","rhr_1",0.00136644029950864,7.92437144704533,TRUE,0.00236021506278765,TRUE
16,"min","rhr_50",0.022161575664568,4.22996259836974,TRUE,0.0247688198603995,TRUE
16,"sd","rhr_1",0.0977075962372141,2.47829542833609,FALSE,0.238624649509712,FALSE
16,"sd","rhr_50",0.0155043783391478,4.67314645388487,TRUE,0.196388792295872,FALSE
16,"skew","rhr_1",0.214353796684528,1.60605192182002,FALSE,0.431494442440957,FALSE
16,"skew","rhr_50",0.302860416197939,1.23388865974332,FALSE,0.813179507550999,FALSE
17,"cv","rhr_1",0.000860198306355866,8.59374894762959,TRUE,0.00491490158628548,TRUE
17,"cv","rhr_50",0.019228690357746,4.41860745030919,TRUE,0.0281034705228596,TRUE
17,"iqr","rhr_1",0.0290216715908393,3.90102102311202,TRUE,0.39347584705471,FALSE
17,"iqr","rhr_50",0.32918057183525,1.14616143646921,FALSE,0.46734358571188,FALSE
17,"kurt","rhr_1",0.972998843868903,0.0273926449319467,FALSE,0.972998843868903,FALSE
17,"kurt","rhr_50",0.263527978488529,1.38424087493138,FALSE,0.733067209948706,FALSE
17,"max","rhr_1",0.387533258936779,0.972660719726464,FALSE,0.641163790521033,FALSE
17,"max","rhr_50",0.372916727136678,1.01392804183785,FALSE,0.708541781559688,FALSE
17,"mean","rhr_1",0.000106501815292094,11.8325685188356,TRUE,0.000176907942071532,TRUE
17,"mean","rhr_50",0.0124370861236141,4.96790956359852,TRUE,0.0152454604095915,TRUE
17,"median","rhr_1",0.000102286291788574,11.8988582665079,TRUE,0.000176676322180265,TRUE
17,"median","rhr_50",0.0177574925718291,4.51796193044862,TRUE,0.0210870224290471,TRUE
17,"min","rhr_1",0.000133606215497731,11.4630834204942,TRUE,0.000461548744446707,TRUE
17,"min","rhr_50",0.00226639211891786,7.2463347038548,TRUE,0.00374447393560342,TRUE
17,"sd","rhr_1",0.0503212521553215,3.2443948799691,FALSE,0.238624649509712,FALSE
17,"sd","rhr_50",0.303581707351988,1.23246593238481,FALSE,0.372132415463727,FALSE
17,"skew","rhr_1",0.751290338571769,0.288184663401906,FALSE,0.839677437227272,FALSE
17,"skew","rhr_50",0.619817116929564,0.484743056472234,FALSE,0.820211137055755,FALSE
18,"cv","rhr_1",0.00106192637268359,8.33234172826144,TRUE,0.00491490158628548,TRUE
18,"cv","rhr_50",0.0138083025580094,4.85196692589814,TRUE,0.0238507044183798,TRUE
18,"iqr","rhr_1",0.103279982763443,2.41970131681254,FALSE,0.453556849436681,FALSE
18,"iqr","rhr_50",0.124447916310844,2.21301449699109,FALSE,0.288131440904064,FALSE
