"day","stat_type","rhr_type","p_value","f_value","significant","p_adjusted","significant_adjusted"
1,"mean","rhr_50",2.56503766417818e-05,13.929331921013,TRUE,0.000324904770795903,TRUE
2,"mean","rhr_50",7.50756260397709e-05,12.2356563762454,TRUE,0.000488059830552579,TRUE
3,"mean","rhr_50",0.000267644576238422,10.232863857499,TRUE,0.001017049389706,TRUE
4,"mean","rhr_50",6.44302395571676e-05,12.4854957200655,TRUE,0.000488059830552579,TRUE
5,"mean","rhr_50",0.00055571023353863,9.18885071569577,TRUE,0.00174753842538547,TRUE
6,"mean","rhr_50",0.000926002477199494,8.53347014988762,TRUE,0.0021992558833488,TRUE
7,"mean","rhr_50",0.000440311019844474,9.65223936614337,TRUE,0.00152107443219,TRUE
8,"mean","rhr_50",0.000832757672254457,8.55154153082309,TRUE,0.0021992558833488,TRUE
9,"mean","rhr_50",0.00187354067800667,7.40902986901677,TRUE,0.00355972728821267,TRUE
11,"mean","rhr_50",0.00877877690569617,5.41672582756666,TRUE,0.0129052630887661,TRUE
12,"mean","rhr_50",0.00561536247780568,6.00529636229209,TRUE,0.00921976689935631,TRUE
13,"mean","rhr_50",0.0120472652238657,4.99132355953363,TRUE,0.0152454604095915,TRUE
14,"mean","rhr_50",0.0181044904895599,4.47975750875771,TRUE,0.0214990824563524,TRUE
17,"mean","rhr_50",0.0124370861236141,4.96790956359852,TRUE,0.0152454604095915,TRUE
18,"mean","rhr_50",0.0102872834536289,5.23112161199055,TRUE,0.0138896107935825,TRUE
19,"mean","rhr_50",0.000223636260105468,10.5080361545629,TRUE,0.000969457212185379,TRUE
20,"mean","rhr_50",0.000229608287096537,10.4675082798225,TRUE,0.000969457212185379,TRUE
21,"mean","rhr_50",2.01940742602516e-05,14.4462931680414,TRUE,0.000324904770795903,TRUE
22,"mean","rhr_50",0.0014842224305093,7.69842317653126,TRUE,0.0029684448610186,TRUE
23,"mean","rhr_50",0.00313903816652701,6.70619792113449,TRUE,0.00568016430133459,TRUE
24,"mean","rhr_50",0.000109817883212422,11.5497805116714,TRUE,0.000596154223153148,TRUE
25,"mean","rhr_50",7.70620785083019e-05,12.3677278473515,TRUE,0.000488059830552579,TRUE
26,"mean","rhr_50",1.12983956797702e-05,15.4724500485295,TRUE,0.000324904770795903,TRUE
27,"mean","rhr_50",0.00959038923910769,5.30197405280036,TRUE,0.0134975848550404,TRUE
28,"mean","rhr_50",0.000597842092895031,9.18635811943344,TRUE,0.00174753842538547,TRUE
29,"mean","rhr_50",0.00090589755436343,8.6167567273724,TRUE,0.0021992558833488,TRUE
30,"mean","rhr_50",0.00123957875610266,8.06391280332293,TRUE,0.00261688848510561,TRUE
-7,"median","rhr_1",5.60932549537492e-05,15.7827615087704,TRUE,0.000125313502008343,TRUE
-6,"median","rhr_1",0.00144848238586217,8.25972921024366,TRUE,0.00189801140216422,TRUE
-5,"median","rhr_1",0.000818003128771564,8.95012911212548,TRUE,0.00115126366271554,TRUE
-4,"median","rhr_1",0.0291782571923595,3.89450633930403,TRUE,0.0299668587380989,TRUE
