"day","stat_type","n_diabetes_surgery1","n_no_diabetes_surgery0","mean_diabetes_surgery1","mean_no_diabetes_surgery0","sd_diabetes_surgery1","sd_no_diabetes_surgery0","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
7,"total",14,18,6548.07142857143,7244.38888888889,5333.86235385674,6138.49783443789,0.734158233231195,-0.121092972314755,FALSE,0.880828479956422,FALSE
8,"max",14,21,125.571428571429,107,33.5781849642667,24.4846890933906,0.0891753133617505,0.631996731437573,FALSE,0.618644055017744,FALSE
8,"mean",14,21,6.11017830897845,6.9203885228343,3.36588001074417,4.78886604737647,0.560823902983819,-0.195750963407624,FALSE,0.920010123828623,FALSE
8,"median",14,21,0,0,0,0,NA,NA,NA,NA,NA
8,"total",14,21,6978.07142857143,6211.85714285714,3669.80105233734,4803.28854313078,0.597158537839724,0.179261403233838,FALSE,0.880828479956422,FALSE
9,"max",14,21,129.071428571429,120.952380952381,37.3599215237899,20.5170080432703,0.46754167327303,0.269387302215307,FALSE,0.979294208782837,FALSE
9,"mean",14,21,7.39562359690996,7.7269038117325,4.43174301529264,6.20888228434737,0.855081216426663,-0.061416379130685,FALSE,0.920010123828623,FALSE
9,"median",14,21,0,0,0,0,NA,NA,NA,NA,NA
9,"total",14,21,8193.64285714286,8844.71428571429,4575.44921051715,6020.33385405541,0.719147375965736,-0.121765643406905,FALSE,0.880828479956422,FALSE
10,"max",13,21,126.923076923077,111.809523809524,32.937975900323,27.123088038826,0.178974779618592,0.500930673488905,FALSE,0.618644055017744,FALSE
10,"mean",13,21,5.90904696102527,6.82414460555964,3.87834173275281,8.49715834671931,0.672503287161182,-0.138553198498681,FALSE,0.920010123828623,FALSE
10,"median",13,21,0,0,0,0,NA,NA,NA,NA,NA
10,"total",13,21,7491,6120.95238095238,5287.76064763399,4834.84601074523,0.455687931095117,0.270420130696134,FALSE,0.880828479956422,FALSE
11,"max",13,20,121.307692307692,99.5,33.658541796956,39.6451364243492,0.101108242027245,0.59302149427302,FALSE,0.618644055017744,FALSE
11,"mean",13,20,6.21452982183885,7.25860718991061,4.30109866826957,7.61137749062044,0.619020697666165,-0.16889181339962,FALSE,0.920010123828623,FALSE
11,"median",13,20,0,0,0,0,NA,NA,NA,NA,NA
11,"total",13,20,6632.53846153846,7228.35,4438.4353965368,6917.91955549613,0.765135221316987,-0.102515067444483,FALSE,0.880828479956422,FALSE
12,"max",12,20,115.416666666667,113.7,42.2319532911737,28.656036380711,0.902254830560046,0.0475687338604915,FALSE,0.979294208782837,FALSE
12,"mean",12,20,5.52638090800292,6.8109078073343,4.05406027736763,6.50060344950264,0.49654930080587,-0.237117781070472,FALSE,0.920010123828623,FALSE
12,"median",12,20,0,0,0,0,NA,NA,NA,NA,NA
12,"total",12,20,7286.5,6954.45,5451.55866785738,6074.84907739755,0.874364263152055,0.0575314694615354,FALSE,0.880828479956422,FALSE
13,"max",13,20,115.923076923077,121,36.0218950511619,21.3270275768368,0.652160431750315,-0.171512825259445,FALSE,0.979294208782837,FALSE
13,"mean",13,20,5.63457300808056,7.64388795697419,3.44001000391844,6.27753989852836,0.245655091998345,-0.396966144199506,FALSE,0.920010123828623,FALSE
13,"median",13,20,0,0,0,0,NA,NA,NA,NA,NA
13,"total",13,20,6792.61538461538,8406.4,4920.44741425109,5891.19689742335,0.401862329212614,-0.297331035187218,FALSE,0.880828479956422,FALSE
14,"max",11,21,125.272727272727,105.904761904762,33.45770736046,39.4054625171495,0.157175537868054,0.529863268712057,FALSE,0.618644055017744,FALSE
14,"mean",11,21,4.89285593307276,5.14052410658293,2.30564946885706,4.62281221904253,0.841158089937669,-0.0678016251289367,FALSE,0.920010123828623,FALSE
14,"median",11,21,0,0,0,0,NA,NA,NA,NA,NA
14,"total",11,21,6080.72727272727,5643.95238095238,3216.48351747399,4267.23525805867,0.747890842243761,0.11559288457974,FALSE,0.880828479956422,FALSE
15,"max",11,22,90.8181818181818,113.545454545455,51.3104632249957,30.2383031659347,0.197211548911844,-0.539665264496236,FALSE,0.618644055017744,FALSE
15,"mean",11,22,4.3669847903264,6.94596368358441,4.23293028665955,8.92288988123357,0.268902385135495,-0.369301495398752,FALSE,0.920010123828623,FALSE
15,"median",11,22,0,1.38636363636364,0,6.50262184884612,0.328694683236464,-0.301511344577764,FALSE,0.335561277865423,FALSE
15,"total",11,22,4927.18181818182,7077.27272727273,5090.4390934021,6515.91226797773,0.308895289575365,-0.367739294125707,FALSE,0.880828479956422,FALSE
16,"max",11,21,116.909090909091,117.666666666667,35.8062970591893,32.1050359497281,0.953690058240371,-0.0222776692185313,FALSE,0.979294208782837,FALSE
16,"mean",11,21,5.82975221811472,7.08183442899405,4.45195380956879,5.72081723067727,0.500786720162351,-0.244270614415497,FALSE,0.920010123828623,FALSE
16,"median",11,21,0,0.285714285714286,0,1.30930734141595,0.329256577171709,-0.308606699924184,FALSE,0.335561277865423,FALSE
16,"total",11,21,6843.90909090909,6285.90476190476,5393.01393386936,4549.09589814022,0.773022649083028,0.111848467266058,FALSE,0.880828479956422,FALSE
17,"max",11,21,99.3636363636364,119.285714285714,42.3562810626068,28.7456829056866,0.181843018981158,-0.550387319846611,FALSE,0.618644055017744,FALSE
17,"mean",11,21,4.96915462559172,6.78412826907901,3.96349870575445,4.26332452072481,0.243626232051704,-0.440940431210165,FALSE,0.920010123828623,FALSE
17,"median",11,21,0,0,0,0,NA,NA,NA,NA,NA
17,"total",11,21,6504.72727272727,7703.90476190476,5648.14374978026,4686.30308350582,0.553851427136938,-0.231075200965652,FALSE,0.880828479956422,FALSE
18,"max",11,21,95.9090909090909,121.952380952381,44.5116940712315,19.0643022176952,0.0886298595794479,-0.760612810493598,FALSE,0.618644055017744,FALSE
18,"mean",11,21,5.7615754790691,5.97767729577025,5.57582239110302,3.71940829575545,0.909400225198908,-0.0455968882165921,FALSE,0.933978609663743,FALSE
18,"median",11,21,0,0,0,0,NA,NA,NA,NA,NA
18,"total",11,21,6638,7036.90476190476,7282.87868908991,3633.58668404597,0.867029687452297,-0.0693127808943299,FALSE,0.880828479956422,FALSE
19,"max",12,22,111.833333333333,107.272727272727,41.4067041856165,32.4538967037151,0.744948739915408,0.122594931381583,FALSE,0.979294208782837,FALSE
19,"mean",12,22,5.7870548827149,5.37209288358336,4.19451693073873,3.23125736309586,0.769165003170851,0.110834016671289,FALSE,0.920010123828623,FALSE
19,"median",12,22,0,0,0,0,NA,NA,NA,NA,NA
19,"total",12,22,7183.91666666667,6665.18181818182,5786.70535024949,4314.17537931216,0.788731496670048,0.101636479485368,FALSE,0.880828479956422,FALSE
20,"max",13,21,120.538461538462,107.190476190476,22.6444083775494,38.402628878267,0.211641387242912,0.423422321269025,FALSE,0.618644055017744,FALSE
20,"mean",13,21,7.5810413029565,7.18782718487386,4.58423915736914,5.97974910597056,0.830565194123222,0.0738030864899615,FALSE,0.920010123828623,FALSE
20,"median",13,21,0,0,0,0,NA,NA,NA,NA,NA
20,"total",13,21,8106.23076923077,7584.42857142857,6564.93832357226,6609.08882956969,0.824030254412767,0.0792163643621082,FALSE,0.880828479956422,FALSE
21,"max",14,22,120.642857142857,105.318181818182,23.7668390275745,36.2890333212934,0.135064832556492,0.499602449121008,FALSE,0.618644055017744,FALSE
21,"mean",14,22,5.74921848210941,5.45986192429876,3.8767548571984,3.82797075458353,0.827964777469576,0.0751099448128693,FALSE,0.920010123828623,FALSE
21,"median",14,22,0,0,0,0,NA,NA,NA,NA,NA
21,"total",14,22,6609.07142857143,6333.04545454545,4325.74190105067,5437.02245611619,0.867166243468774,0.0561838701565292,FALSE,0.880828479956422,FALSE
22,"max",14,22,126.357142857143,116.409090909091,38.3999341803465,26.8995646821018,0.406945000877123,0.30007182318881,FALSE,0.979294208782837,FALSE
22,"mean",14,22,7.5497800657434,5.93027782862925,5.97777739676208,3.79017180925496,0.376621938061532,0.323579534928331,FALSE,0.920010123828623,FALSE
22,"median",14,22,0,0,0,0,NA,NA,NA,NA,NA
22,"total",14,22,7307.57142857143,6969.04545454545,5722.9143424857,4572.00631667764,0.853550726890423,0.065358478519905,FALSE,0.880828479956422,FALSE
23,"max",14,22,115.714285714286,118.454545454545,38.756495379045,27.8272344719158,0.820601523507001,-0.0812232652698935,FALSE,0.979294208782837,FALSE
23,"mean",14,22,5.93183934902508,6.86789583444734,4.58006596701155,4.77574746795531,0.561193432557599,-0.200057817814434,FALSE,0.920010123828623,FALSE
23,"median",14,22,0,0,0,0,NA,NA,NA,NA,NA
23,"total",14,22,7161.07142857143,7564.77272727273,5698.84308723859,5553.13696787525,0.835793369739504,-0.0717504747403502,FALSE,0.880828479956422,FALSE
24,"max",14,22,117.5,109.772727272727,40.397543718171,40.5884475919205,0.580975885142805,0.190829330694152,FALSE,0.979294208782837,FALSE
24,"mean",14,22,7.45172816144232,6.52916547334624,7.41894297697524,4.02589614645102,0.674465037900172,0.154569162764434,FALSE,0.920010123828623,FALSE
24,"median",14,22,0,0,0,0,NA,NA,NA,NA,NA
24,"total",14,22,7611.07142857143,7073.90909090909,6391.56550540555,4702.58058748792,0.788780253945467,0.0957340013715025,FALSE,0.880828479956422,FALSE
25,"max",13,20,117.846153846154,111.65,33.8226900020439,27.3847345104992,0.585793076707415,0.201353365334729,FALSE,0.979294208782837,FALSE
25,"mean",13,20,7.46939749160772,5.83886016954656,6.35398671717982,4.50042547350485,0.43125493173707,0.296150715465456,FALSE,0.920010123828623,FALSE
25,"median",13,20,0,0,0,0,NA,NA,NA,NA,NA
25,"total",13,20,7109.61538461538,5949.55,5152.95673276456,4317.18033558942,0.508031456717829,0.244045860800435,FALSE,0.880828479956422,FALSE
26,"max",14,20,119.428571428571,119.8,42.1530440286241,38.4838995726237,0.979294208782837,-0.0092028452873682,FALSE,0.979294208782837,FALSE
26,"mean",14,20,5.67909630209434,6.2800310209903,3.54818891092607,5.21061639342521,0.691800075842511,-0.134811656729772,FALSE,0.920010123828623,FALSE
26,"median",14,20,0,0,0,0,NA,NA,NA,NA,NA
26,"total",14,20,6016.57142857143,6428.35,3814.35944242857,4857.46542393632,0.784023137147001,-0.0942896163070537,FALSE,0.880828479956422,FALSE
27,"max",13,20,100,123.15,38.3883662932752,28.9414563340693,0.0774352979107827,-0.680989198660586,FALSE,0.618644055017744,FALSE
27,"mean",13,20,5.00968895035071,5.49021315349532,4.80977450975179,2.97856011378239,0.750949301375494,-0.120120256990652,FALSE,0.920010123828623,FALSE
