"day","stat_type","rhr_type","n_diabetes","n_non_diabetes","mean_diabetes","mean_non_diabetes","sd_diabetes","sd_non_diabetes","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
17,"cv","rhr_1",19,21,9.65823793981944,13.6944849560584,2.79035002934421,3.54376680305484,0.000271481660922988,-1.26552570299687,TRUE,0.00379394052074599,TRUE
18,"cv","rhr_1",18,21,9.97132582877657,13.9611640939756,3.23616156514507,4.03691017434316,0.00152750922225866,-1.09056382742511,TRUE,0.00829219292083272,TRUE
19,"cv","rhr_1",20,22,10.487661403669,12.6522820247851,3.60475610018029,2.87447638392928,0.0393339089646628,-0.6639678002538,TRUE,0.0498229513552396,TRUE
21,"cv","rhr_1",20,22,9.6645033746778,13.2689622580205,2.68135831210239,3.6208094637849,0.000696418981202546,-1.1313778145639,TRUE,0.00441065354761612,TRUE
22,"cv","rhr_1",21,22,10.0449017490772,14.7152512548605,2.95480616868267,7.27442136164653,0.00959072559280733,-0.841210301745246,TRUE,0.0158455466315947,TRUE
23,"cv","rhr_1",20,22,10.3412165217033,14.0271623584793,2.69326844817942,6.93824540223456,0.0286975667001213,-0.700384816476624,TRUE,0.0380830013274565,TRUE
25,"cv","rhr_1",20,20,9.7131562663604,12.7713990092267,3.07925088680682,3.74888888359599,0.00772235294082043,-0.891499388130655,TRUE,0.0133386096250535,TRUE
26,"cv","rhr_1",22,20,10.2105125532334,14.6253065660846,3.11244879014539,4.31740404633764,0.000619875200536558,-1.17306677798891,TRUE,0.00441065354761612,TRUE
27,"cv","rhr_1",20,20,9.77677659487289,13.3068378854165,3.4093144122859,3.8964993134462,0.00420348687026602,-0.964228958737087,TRUE,0.0105159836133205,TRUE
29,"cv","rhr_1",18,20,9.40340283418903,12.5578868960729,2.88157112111303,3.44932636993185,0.00407416549469133,-0.992552819724342,TRUE,0.0105159836133205,TRUE
30,"cv","rhr_1",20,20,10.2419671444615,13.575836755747,3.01669310239397,4.04872236523538,0.00558103588278481,-0.933805929065878,TRUE,0.0111620717655696,TRUE
0,"cv","rhr_50",24,17,9.32820512550088,12.2839945884878,3.7165445175191,2.20050553907484,0.00287569881144894,-0.967813572739575,TRUE,0.027319138708765,TRUE
13,"cv","rhr_50",20,20,9.02482630650491,12.0534427078504,2.99983045620765,2.63819478626631,0.00165914173067761,-1.07215034305676,TRUE,0.0249956150538616,TRUE
14,"cv","rhr_50",19,21,8.06301974225114,11.2496231086587,2.96619080795393,3.03775054127485,0.00182126793204811,-1.06142843992926,TRUE,0.0249956150538616,TRUE
16,"cv","rhr_50",19,21,8.54612161376873,11.6459299273294,2.96734605280328,3.53229991820388,0.00458211371231879,-0.950256187200118,TRUE,0.0290200535113523,TRUE
19,"cv","rhr_50",20,22,8.70147767104092,11.4306869974803,2.28054758326288,3.02532178968706,0.00197333803056802,-1.01876356273488,TRUE,0.0249956150538616,TRUE
22,"cv","rhr_50",21,22,8.91974261778858,11.7622188603718,2.56439781974621,3.41856184084444,0.00365568450979326,-0.940652760049085,TRUE,0.0277832022744288,TRUE
24,"max","rhr_50",21,22,113.571428571429,96.5,15.7466549735854,11.5912528596844,0.000267048519410868,1.23473739110587,TRUE,0.010147843737613,TRUE
25,"max","rhr_50",20,20,112.2,97.55,16.4911459497769,8.31279926251966,0.00138905198426145,1.12185542796022,TRUE,0.0263919877009675,TRUE
-7,"mean","rhr_1",17,8,75.9019271397145,67.5744763986371,8.27254886950821,3.73018475008393,0.00208285445237278,1.29776781923286,TRUE,0.00329785288292357,TRUE
-6,"mean","rhr_1",18,14,76.7667561978515,68.8867307880351,8.50523518110361,7.83755992292785,0.0109600977384676,0.963538656981367,TRUE,0.0126207186079324,TRUE
-5,"mean","rhr_1",20,15,76.4476846225231,68.143698167298,10.0489620325756,6.19788563920225,0.0050618917946656,0.99466622408046,TRUE,0.00663282373094113,TRUE
-3,"mean","rhr_1",24,18,73.3059556303312,67.062614855486,9.34014552535888,6.31236262527305,0.013639674292626,0.783224365379046,TRUE,0.0148087892319939,TRUE
-2,"mean","rhr_1",24,16,73.6259284838729,64.1965176966924,10.3366098505572,6.00174454462641,0.000814245577261411,1.11566662423842,TRUE,0.00163991892095243,TRUE
-1,"mean","rhr_1",25,17,75.412040199339,64.257521331083,9.98670113671758,7.2126092497713,0.00014529401325689,1.28053956794396,TRUE,0.00059755620222232,TRUE
0,"mean","rhr_1",24,17,74.2717991970568,64.3177273888592,10.9279940898567,7.05205087524632,0.00105522344766149,1.08237209522622,TRUE,0.00190945195291126,TRUE
1,"mean","rhr_1",23,20,73.8242649462848,64.4474308331985,10.5293117767937,5.49618310962085,0.000701716538257585,1.11647003247305,TRUE,0.00156854285022284,TRUE
2,"mean","rhr_1",24,19,73.2415429677882,62.7627201064384,10.1894976429354,4.7710918978645,8.48404435942837e-05,1.31713170296842,TRUE,0.00059755620222232,TRUE
3,"mean","rhr_1",23,19,73.9890944706979,62.9157356712455,9.79554950281558,6.10355880071894,6.98292301831328e-05,1.35685087049581,TRUE,0.00059755620222232,TRUE
4,"mean","rhr_1",23,19,75.4497378633145,62.7824898573701,10.1634710907073,6.14454282694533,1.52111413038972e-05,1.50837156958934,TRUE,0.000578023369548092,TRUE
5,"mean","rhr_1",23,19,74.5448533396874,63.5618263021333,9.26102001916164,5.73969001387587,3.4970074335591e-05,1.42558272049611,TRUE,0.00059755620222232,TRUE
6,"mean","rhr_1",22,19,75.4939144494601,64.224619124841,10.3329451447217,6.22743000425573,0.000132358310820169,1.32100572145846,TRUE,0.00059755620222232,TRUE
7,"mean","rhr_1",21,18,76.0796859657287,64.0579812706738,11.0711618156016,5.84891200699713,0.000146280093118285,1.3577980338225,TRUE,0.00059755620222232,TRUE
8,"mean","rhr_1",21,21,75.6116829011857,66.4319575762752,7.94117713383188,7.96044765078287,0.000574639222660322,1.15456360071131,TRUE,0.00136476815381826,TRUE
9,"mean","rhr_1",21,21,75.4540441880273,65.4273081446332,9.85644434526118,10.3162712109778,0.00254668065400025,0.993830715473469,TRUE,0.0037220717250773,TRUE
10,"mean","rhr_1",20,21,74.5176321282008,66.4627118970652,7.21402500541821,10.40015799636,0.00646386245427609,0.899989842589768,TRUE,0.00792344429879004,TRUE
11,"mean","rhr_1",20,20,74.7339403211663,65.3215225370937,8.41483532823656,9.88230673338007,0.00250509633550924,1.02554713919142,TRUE,0.0037220717250773,TRUE
12,"mean","rhr_1",19,20,73.7923676118956,65.0827343742192,8.96558942487962,8.87074632088279,0.00424560838926393,0.976603068328055,TRUE,0.00576189709971533,TRUE
13,"mean","rhr_1",20,19,73.9647329687394,66.2859361485238,8.7659735959728,9.31017760706882,0.0118585441431132,0.849220515368221,TRUE,0.0132536669834794,TRUE
14,"mean","rhr_1",19,21,73.96591190973,65.1084546271179,9.53306700899137,9.6757633578188,0.00597538048145757,0.922202208318424,TRUE,0.00756881527651293,TRUE
17,"mean","rhr_1",19,21,74.5503483453941,65.006546656641,9.28067752487415,7.58126510774865,0.00115878258225778,1.12628751754728,TRUE,0.00200153355117253,TRUE
18,"mean","rhr_1",18,21,74.5809524285355,64.719582344747,8.5541262021435,7.22707471319612,0.000501551530613405,1.24536629578238,TRUE,0.00127059721088729,TRUE
19,"mean","rhr_1",20,22,75.4080516222905,63.9877821788562,10.5935045269214,7.79333689820905,0.000367686171698893,1.22806250258636,TRUE,0.00107477496342753,TRUE
20,"mean","rhr_1",21,21,74.1309087503084,66.5049892461338,8.80044442568926,9.66716482050329,0.0108541574467858,0.824961672701744,TRUE,0.0126207186079324,TRUE
21,"mean","rhr_1",20,22,76.1195057985628,64.7245911304895,9.19752123866586,8.34914349582311,0.000157251632163768,1.29729714248703,TRUE,0.00059755620222232,TRUE
22,"mean","rhr_1",21,22,76.8391769625423,66.3174532235339,12.3836929945563,9.97276536994317,0.00402446994996519,0.935843299227282,TRUE,0.00566406881846952,TRUE
23,"mean","rhr_1",20,22,77.4612250497789,65.4237596747254,10.223008670219,9.30475730479298,0.000296840938950132,1.23149561543014,TRUE,0.000939996306675418,TRUE
24,"mean","rhr_1",21,22,76.8949428925291,65.8466009914763,11.6703172843187,9.37266982229866,0.00152855294093518,1.04386942197031,TRUE,0.00252543529371899,TRUE
25,"mean","rhr_1",20,20,75.6311904302634,64.3916727328816,11.8788834312342,6.44296723589545,0.000842415082029314,1.17622082072052,TRUE,0.00163991892095243,TRUE
26,"mean","rhr_1",22,20,75.5768678604515,65.3477562892177,11.1424035257075,6.68226724914673,0.00086311522155391,1.11342037497257,TRUE,0.00163991892095243,TRUE
27,"mean","rhr_1",20,20,76.6485766764649,65.0041376353352,10.8392479294894,7.88710479850495,0.000439256156679621,1.22847042543299,TRUE,0.00119226671098754,TRUE
28,"mean","rhr_1",21,20,78.2709545278307,64.4836002551973,10.9519447163257,9.0676333926006,8.40067329904451e-05,1.37132605055326,TRUE,0.00059755620222232,TRUE
29,"mean","rhr_1",19,20,77.9435201846266,65.4039951197797,11.1697808170239,5.99917166967451,0.000178081156242694,1.39866950099345,TRUE,0.000615189448838398,TRUE
30,"mean","rhr_1",20,20,75.6664517121442,63.7972254774496,9.9189232804285,7.19455411742965,0.000120153492225209,1.36987072661813,TRUE,0.00059755620222232,TRUE
-6,"mean","rhr_50",18,12,84.7856139698774,78.5280377087521,9.53079341915752,5.83340107715626,0.0340654959371597,0.791956812213101,TRUE,0.0417577046971635,TRUE
-2,"mean","rhr_50",24,16,82.699108156206,75.0357821367932,9.47448425988443,6.87225167618657,0.0052639955188733,0.925938217996307,TRUE,0.0107331368381464,TRUE
-1,"mean","rhr_50",25,17,82.0957475664521,76.099576889079,8.70615686281986,7.41270617982372,0.0216335737013968,0.741610393835211,TRUE,0.0304472518760399,TRUE
0,"mean","rhr_50",24,17,81.7054341886927,75.558361522987,10.6674129567066,7.47669090457549,0.0362174102955143,0.66734333267237,TRUE,0.0430081747259232,TRUE
1,"mean","rhr_50",23,20,80.9247084493079,74.6966725395696,10.9508205941874,6.64750707820104,0.0280993467116454,0.687541343629183,TRUE,0.0355925058347508,TRUE
