"day","stat_type","rhr_type","n_diabetes","n_non_diabetes","mean_diabetes","mean_non_diabetes","sd_diabetes","sd_non_diabetes","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
2,"min","rhr_1",24,19,58.5416666666667,48.5789473684211,9.24064352486466,5.67955191379747,9.65675301976959e-05,1.2989810862306,TRUE,0.000917391536878111,TRUE
2,"min","rhr_50",24,18,63.6666666666667,56.5,10.5487137755672,7.23756540151289,0.0127411544214286,0.792253125271902,TRUE,0.0210506029571429,TRUE
2,"sd","rhr_1",24,19,7.23965006997256,7.91341397250928,2.51525969187088,1.85074963622416,0.317837195919996,-0.305126706490771,FALSE,0.431350480177137,FALSE
2,"sd","rhr_50",24,18,8.07266145665326,8.44195265294416,3.25154828509775,1.96102187969731,0.650534699515597,-0.137539941472543,FALSE,0.913549626988304,FALSE
2,"skew","rhr_1",24,19,1.10130827942966,1.42094972471828,0.804788293958817,0.736287198132052,0.182510548847965,-0.414419848006042,FALSE,0.999948969295774,FALSE
2,"skew","rhr_50",24,18,0.619860623149964,0.845247166406305,0.981220902485328,1.63688654344796,0.608510029901483,-0.167017339646927,FALSE,0.875679938552445,FALSE
3,"cv","rhr_1",23,19,9.76955557816395,13.4100130719374,3.90853256041383,3.92626109948099,0.00475725237871368,-0.929302884497491,TRUE,0.0105159836133205,TRUE
3,"cv","rhr_50",23,19,9.58145242981469,11.2021997684129,4.92534506282125,2.8759519686471,0.192543830651426,-0.401871730956343,FALSE,0.3029188536408,FALSE
3,"iqr","rhr_1",23,19,9.54347826086956,12.3421052631579,4.33514454901674,5.79763512989695,0.0912029408138377,-0.546725460212653,FALSE,0.278416344569617,FALSE
3,"iqr","rhr_50",23,19,9.89130434782609,10.5394736842105,5.55695003359661,3.35747834225531,0.644057812774494,-0.141186301105037,FALSE,0.898286398124595,FALSE
3,"kurt","rhr_1",23,19,5.36617297884875,8.36888089519122,3.84321732425472,10.4015537380366,0.245599153724588,-0.382949492317978,FALSE,0.591463861106608,FALSE
3,"kurt","rhr_50",23,19,3.44887384624957,4.38965032766361,1.10958869584638,3.02812151940125,0.212216177090248,-0.412543756214664,FALSE,0.727181080741184,FALSE
3,"max","rhr_1",23,19,105.869565217391,107.315789473684,13.7916455206044,13.0599159074158,0.729521725060107,-0.10767996245307,FALSE,0.952476636506876,FALSE
3,"max","rhr_50",23,19,105.391304347826,100.947368421053,18.5686420182835,11.853146249979,0.353562027323061,0.285286634129807,FALSE,0.537414281531052,FALSE
3,"mean","rhr_1",23,19,73.9890944706979,62.9157356712455,9.79554950281558,6.10355880071894,6.98292301831328e-05,1.35685087049581,TRUE,0.00059755620222232,TRUE
3,"mean","rhr_50",23,19,81.883692298656,73.5197243030415,8.44821760252432,6.56894798282292,0.000850430290597814,1.10529990630912,TRUE,0.00461662157753099,TRUE
3,"median","rhr_1",23,19,73.2608695652174,61.0526315789474,10.9012817899562,5.66150435652463,4.60832637039774e-05,1.40551966422988,TRUE,0.000412292563427971,TRUE
3,"median","rhr_50",23,19,81.4347826086957,73.3157894736842,8.11606760443035,7.01033072273379,0.00123647026174582,1.07062993518242,TRUE,0.00522065221626015,TRUE
3,"min","rhr_1",23,19,56.9130434782609,47.6842105263158,11.3814563833946,6.61691965577595,0.0023232355637832,0.991370451710613,TRUE,0.00588553009491743,TRUE
3,"min","rhr_50",23,19,64.5217391304348,56.3684210526316,11.0118513232434,6.83301240153508,0.00571141900245425,0.889729886983985,TRUE,0.0141256579851176,TRUE
3,"sd","rhr_1",23,19,7.03513637199642,8.43284848295915,2.46149291741741,2.63581119733127,0.0862040601564297,-0.548091883475599,FALSE,0.235144472378137,FALSE
3,"sd","rhr_50",23,19,7.90886453420313,8.2257381740213,4.65277883101537,2.22729032363874,0.774411232276166,-0.0868731204434928,FALSE,0.934774801062543,FALSE
3,"skew","rhr_1",23,19,0.811836740732555,1.2855732446183,0.77391467095385,0.99827670985226,0.100122473154997,-0.530399862028596,FALSE,0.999948969295774,FALSE
3,"skew","rhr_50",23,19,0.297554780243711,0.523696731150012,0.524546150899572,0.749129238118748,0.27540699612643,-0.349706614236952,FALSE,0.863187183053324,FALSE
4,"cv","rhr_1",23,19,10.0870693549311,13.658881704784,3.32680595909401,3.97340786987429,0.0036158124805894,-0.974734051255704,TRUE,0.0105159836133205,TRUE
4,"cv","rhr_50",23,19,9.73217466292851,12.069355238149,3.30927317023039,3.07855006857907,0.0229385791468338,-0.731284332253803,TRUE,0.0792423643254258,FALSE
4,"iqr","rhr_1",23,19,10.0869565217391,11.0921052631579,5.333539192338,4.02355091782173,0.490813238813279,-0.212767176960832,FALSE,0.532882944997274,FALSE
4,"iqr","rhr_50",23,19,10.554347826087,11.6315789473684,4.16216489351281,3.18347340557081,0.347994979870171,-0.290729093375767,FALSE,0.744603241909952,FALSE
4,"kurt","rhr_1",23,19,6.13966604255949,6.161026767306,6.76530863279775,4.22814526925164,0.990111075572468,-0.00378654682596056,FALSE,0.990111075572468,FALSE
4,"kurt","rhr_50",23,19,4.27031095406712,5.53804912452279,2.56004356990522,6.29046462917101,0.41848767681052,-0.263986776850721,FALSE,0.791695783758363,FALSE
4,"max","rhr_1",23,19,109.782608695652,106.315789473684,19.6097297782576,16.2379960161309,0.534384689190955,0.192569270342784,FALSE,0.781023776509857,FALSE
4,"max","rhr_50",23,19,108.391304347826,104.315789473684,13.4730003759532,11.4506313827809,0.2956789025708,0.325968859888233,FALSE,0.4885129694648,FALSE
4,"mean","rhr_1",23,19,75.4497378633145,62.7824898573701,10.1634710907073,6.14454282694533,1.52111413038972e-05,1.50837156958934,TRUE,0.000578023369548092,TRUE
4,"mean","rhr_50",23,19,82.7605664302423,73.0801636457124,7.96870451545577,5.95275470772646,5.80239887709165e-05,1.37636069183688,TRUE,0.00220491157329483,TRUE
4,"median","rhr_1",23,19,74.7173913043478,61.1578947368421,10.8133188990545,6.41407443651794,1.29266852624263e-05,1.52523332891081,TRUE,0.000269189328565965,TRUE
4,"median","rhr_50",23,19,82.2173913043478,73,7.94129896484271,6.2893207547044,0.000146598290750631,1.28678939474071,TRUE,0.00522065221626015,TRUE
4,"min","rhr_1",23,19,58.7826086956522,48.2105263157895,10.9168615275934,7.07561498990583,0.000536474119691978,1.14926773469353,TRUE,0.0018532742316632,TRUE
4,"min","rhr_50",23,19,65.2173913043478,55.5263157894737,9.23410930753786,7.11312106097388,0.000431388529614994,1.17579809965685,TRUE,0.00204909551567122,TRUE
4,"sd","rhr_1",23,19,7.59242728890848,8.47505313384888,2.97506165937683,2.29918627031964,0.284907770963526,-0.331977903952493,FALSE,0.400981307281999,FALSE
4,"sd","rhr_50",23,19,8.03093581410059,8.77648121383351,2.90870785280217,2.17803281515787,0.348498689551104,-0.290154706776824,FALSE,0.913549626988304,FALSE
4,"skew","rhr_1",23,19,0.927097651511981,1.18730315666892,1.07237764610905,0.654144505306198,0.340183792134961,-0.292948918291237,FALSE,0.999948969295774,FALSE
4,"skew","rhr_50",23,19,0.368316585329087,0.574297190274091,0.669085040767992,0.883492825039668,0.408546475916083,-0.262845596224854,FALSE,0.863187183053324,FALSE
5,"cv","rhr_1",23,19,10.0416334050537,13.9984182604176,3.32813912765931,4.83551532287733,0.0049812553957834,-0.953252325701193,TRUE,0.0105159836133205,TRUE
5,"cv","rhr_50",22,19,9.99233984553857,11.5937563764367,4.3196421592387,4.00358914175291,0.225656270288712,-0.384529319605698,FALSE,0.317590306332261,FALSE
5,"iqr","rhr_1",23,19,9.52173913043478,12.6973684210526,3.96713275458361,8.53692101801559,0.148097324516102,-0.47707414020259,FALSE,0.31264990731177,FALSE
5,"iqr","rhr_50",22,19,10.2954545454545,11.5394736842105,3.52679907115669,6.06003710447406,0.437850842184365,-0.250914461217885,FALSE,0.756287818318449,FALSE
5,"kurt","rhr_1",23,19,7.77581765561922,4.96634997226216,11.5223747646952,2.75752445179728,0.268862850197705,0.335353884186265,FALSE,0.591463861106608,FALSE
5,"kurt","rhr_50",22,19,3.69892969415165,4.3197817222196,1.49592452429034,3.13533699082873,0.437516091024359,-0.252745332374863,FALSE,0.791695783758363,FALSE
5,"max","rhr_1",23,19,112.565217391304,104.368421052632,20.5533144572321,18.0684209674589,0.176891797291733,0.423589632118651,FALSE,0.40887901029347,FALSE
5,"max","rhr_50",22,19,106.636363636364,102.526315789474,13.6784343804241,13.2092914312979,0.334546214159182,0.305672736045439,FALSE,0.529698172418705,FALSE
5,"mean","rhr_1",23,19,74.5448533396874,63.5618263021333,9.26102001916164,5.73969001387587,3.4970074335591e-05,1.42558272049611,TRUE,0.00059755620222232,TRUE
5,"mean","rhr_50",22,19,83.2590819690422,75.2025073542931,9.52670838348617,8.19612448139034,0.00593147035792301,0.906623034539237,TRUE,0.0107331368381464,TRUE
5,"median","rhr_1",23,19,73.4347826086957,61.3421052631579,9.86073981622678,5.40589347014222,1.41678593982087e-05,1.52077346117463,TRUE,0.000269189328565965,TRUE
5,"median","rhr_50",22,19,82.8409090909091,75.6842105263158,9.82148563541077,9.77981272019589,0.0250760283138102,0.730225341269323,TRUE,0.036649579843261,TRUE
